company_id,cluster_id,cluster_name,distance_from_centroid,broad_sector
ABB,4,Cyclical / Capital Intensive,0.6766,Industrials
ADANIENSOL,3,Defensive Dividend,1.1234,Energy
ADANIENT,3,Defensive Dividend,0.9923,Industrials
ADANIGREEN,2,Leveraged Value,2.595,Energy
ADANIPORTS,0,Turnaround / Weak,1.292,Industrials
ADANIPOWER,3,Defensive Dividend,1.2341,Energy
AMBUJACEM,4,Cyclical / Capital Intensive,0.5794,Materials
APOLLOHOSP,3,Defensive Dividend,0.8912,Healthcare
ASIANPAINT,4,Cyclical / Capital Intensive,0.8048,Materials
ATGL,3,Defensive Dividend,0.6078,Energy
BAJAJ-AUTO,4,Cyclical / Capital Intensive,0.2972,Consumer Discretionary
AXISBANK,2,Leveraged Value,1.0116,Financials
BAJAJFINSV,2,Leveraged Value,1.4246,Financials
BAJAJHLDNG,0,Turnaround / Weak,2.5598,Financials
BAJFINANCE,3,Defensive Dividend,1.188,Financials
BANKBARODA,2,Leveraged Value,2.3454,Financials
BHARTIARTL,3,Defensive Dividend,1.6159,Communication Services
BEL,1,High-Quality Growth,1.6883,Industrials
BHEL,4,Cyclical / Capital Intensive,2.6605,Industrials
BOSCHLTD,4,Cyclical / Capital Intensive,0.4595,Consumer Discretionary
BPCL,4,Cyclical / Capital Intensive,0.9421,Energy
BRITANNIA,4,Cyclical / Capital Intensive,0.9727,Consumer Staples
CANBK,2,Leveraged Value,2.8206,Financials
CHOLAFIN,2,Leveraged Value,1.256,Financials
CIPLA,0,Turnaround / Weak,0.833,Healthcare
COALINDIA,0,Turnaround / Weak,1.3373,Materials
DABUR,4,Cyclical / Capital Intensive,0.4117,Consumer Staples
DIVISLAB,4,Cyclical / Capital Intensive,0.5968,Healthcare
DLF,4,Cyclical / Capital Intensive,1.9707,Real Estate
DMART,3,Defensive Dividend,0.8939,Consumer Discretionary
DRREDDY,4,Cyclical / Capital Intensive,0.8639,Healthcare
